node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,node-13,node-14,node-15,node-16,node-17,node-18,node-19,node-20,node-21,node-22,node-23,node-24,node-25,node-26,node-27,node-28,node-29,node-30,node-31,node-32,node-33,node-34,node-35,node-36,node-37,node-38,node-39,node-40,node-41,node-42,node-43,node-44,node-45,node-46,node-47,node-48,node-49,node-50,
2203215,2185754,2220537,2203756,2205757,2189543,2235732,2173736,2371036,2225664,2323012,2412072,2408722,2410303,2380964,2457568,2496328,2481439,2504310,2643923,2515285,2596519,2549570,2636319,2596090,2651009,2633810,2648737,2714379,2637598,2688220,2754526,2772546,2849466,2809260,2899828,2805062,2921282,2902699,2937410,2953069,2940188,2839509,2977016,2998237,3060378,3023630,3134699,3086261,3094421,
2202737,2221348,2184314,2178379,2255835,2161809,2287282,2254736,2327295,2248176,2326822,2278757,2460772,2393735,2370237,2440585,2487332,2496330,2472004,2456939,2481846,2547183,2528788,2536241,2573467,2644292,2627951,2686099,2675356,2692670,2765637,2763117,2704690,2850712,2654782,2813908,2875090,2858867,2901661,2826770,2900739,2927581,2841720,2922171,2950734,3084527,3067687,3053950,3039103,3126559,
2225794,2173729,2191858,2179592,2173656,2251865,2286915,2243517,2264144,2327230,2253406,2213937,2482717,2292206,2351177,2402907,2470060,2440810,2536058,2484406,2622504,2580946,2515689,2506143,2636222,2578504,2667987,2603465,2581862,2691961,2719053,2740214,2775322,2808970,2806540,2894071,2825751,2803965,2862270,2853974,2880053,2897822,2923926,2949040,2964931,3105085,3009818,3087927,3107834,2987980,
2170841,2183502,2261072,2277954,2213265,2213205,2328739,2303036,2396133,2291617,2379363,2384130,2460605,2457858,2467265,2529452,2502909,2479611,2502408,2611914,2583736,2523765,2643986,2663449,2641261,2603650,2652532,2718375,2676633,2759231,2736695,2786803,2732556,2833881,2773887,2832206,2876852,2720720,2883545,2962487,2956154,2890654,2940186,3029992,3011441,3092896,3046882,3043521,3054800,2972991,
2128443,2130927,2181779,2278867,2201894,2245747,2260414,2213831,2315242,2300986,2274237,2281517,2496885,2330635,2406465,2484986,2431697,2496442,2473414,2557994,2500913,2560607,2492313,2654695,2678911,2642917,2677592,2657242,2744716,2716836,2607766,2811428,2817355,2756001,2767679,2837540,2863893,2890045,2775240,2856871,2991294,2990369,2869897,2967583,2939919,3048672,3066523,3022597,2990122,3169351,
2231230,2201430,2131132,2233133,2269204,2217535,2302716,2265699,2341570,2266797,2226269,2241221,2385035,2364590,2384012,2405825,2520550,2514569,2542555,2541938,2505028,2631550,2558408,2555318,2663470,2642026,2576082,2624905,2682133,2728917,2746841,2732484,2840992,2818708,2821958,2790279,2865776,2888174,2887126,2874606,2889924,2917183,2953332,3021569,2867905,2991397,3032388,3070461,3115407,3068937,
2151990,2179917,2263062,2327910,2280980,2317644,2226885,2381983,2264156,2349844,2281447,2286884,2557750,2424979,2335995,2543172,2486666,2435851,2520867,2605747,2600872,2633373,2579275,2687896,2623295,2644310,2633948,2666770,2649968,2645197,2744190,2800734,2757936,2831767,2729693,2923167,2740717,2853494,2903617,3007756,2820290,2854659,2858176,2965450,3023548,3069786,2997828,3005980,3141536,3015804,
2171511,2124604,2221269,2265026,2280363,2242540,2215670,2251134,2313104,2319373,2327447,2369292,2514669,2386716,2390994,2442200,2494011,2542573,2570356,2508252,2580611,2511667,2608513,2602058,2680160,2596597,2656880,2619473,2716103,2713476,2707585,2814050,2780280,2848982,2750764,2765520,2836709,2875786,2864122,2791766,2951903,2821175,2961716,2954873,2987738,3002589,2959801,3019258,3117728,3006573,
2136586,2140994,2107212,2309314,2167511,2254856,2263288,2218866,2361591,2245565,2271506,2400513,2493166,2469901,2426563,2400155,2519884,2443879,2480094,2484228,2490384,2536970,2612273,2623824,2657865,2615776,2633501,2573721,2754415,2704170,2711539,2773381,2771575,2827673,2798254,2774166,2836186,2840201,2898996,2940242,2886530,2968026,2923219,3014702,3039119,3071918,2962555,3003431,3065960,3091530,
2285760,2226956,2172386,2235673,2285193,2205381,2261759,2219417,2310694,2389242,2292436,2406722,2466403,2305966,2324992,2365511,2419299,2484517,2584064,2534037,2524634,2622809,2603752,2663604,2653890,2626667,2574006,2646907,2737297,2777005,2731623,2759868,2759478,2815695,2707007,2804536,2837076,2856963,2805853,2829303,2979735,2954141,2927616,2935390,2942641,3077107,3014581,3015217,3090595,3018350,
2196065,2082888,2327626,2319130,2298233,2202575,2275469,2281632,2344771,2302501,2354261,2402275,2485283,2419935,2362849,2481349,2485143,2505022,2484393,2551109,2527030,2591254,2500892,2616946,2692969,2532888,2682735,2666739,2732579,2656257,2723325,2834520,2791452,2826777,2814977,2882521,2847689,2902390,2866064,2889390,2916441,2910276,2913302,2950278,3010096,3048177,3010067,3029282,3094009,3001421,
2241088,2163206,2166140,2265578,2249081,2236876,2263862,2299148,2351975,2294933,2292735,2342246,2469537,2385967,2328108,2417205,2495737,2516190,2522436,2419323,2442367,2573522,2507341,2564397,2659025,2608568,2638443,2671437,2707883,2758381,2715967,2655297,2800866,2863573,2784214,2818231,2880092,2892394,2870948,2777291,2836703,2933583,3025626,3000689,3107464,3007871,3086599,3036657,3091851,3001211,
2179831,2181237,2144017,2183030,2228222,2207920,2228049,2243736,2334457,2265115,2286996,2415669,2393878,2328653,2401002,2396728,2493287,2430200,2407315,2534647,2490416,2534012,2576485,2571371,2650750,2626218,2688996,2635979,2695246,2714417,2702169,2865496,2908843,2833862,2760686,2826292,2838993,2843103,2898316,2834238,3012482,2902522,2922374,2981826,3035652,3027937,2980591,3064225,3091227,3102323,
2210237,2167072,2111099,2400859,2250450,2278492,2226115,2193632,2325343,2355166,2274433,2352255,2406700,2410517,2381504,2297217,2477926,2514547,2542862,2517514,2601141,2621913,2548976,2668213,2564913,2608263,2660300,2675442,2619623,2719673,2677568,2704362,2691554,2854363,2711017,2791572,2808886,2798052,2876672,2855406,2857076,2886717,2928670,2987591,3010634,3027145,3093095,3019672,3188215,3188811,
2219191,2134620,2171458,2227474,2280717,2218045,2180374,2265185,2339857,2314022,2327172,2289001,2492237,2398227,2401352,2378857,2512913,2537580,2522740,2473150,2596837,2538998,2573825,2580782,2696228,2603784,2702136,2677320,2666161,2735475,2674926,2747796,2711063,2741160,2789077,2846345,2877194,2891339,2827257,2860910,2851803,2867387,2971826,2973374,2963061,3043234,3203137,3032646,3069939,3174692,
2200392,2221943,2197424,2288897,2202117,2338604,2316809,2289129,2277556,2337176,2302230,2337366,2436861,2311874,2387219,2397066,2494059,2479536,2592014,2508699,2460582,2599829,2487912,2581676,2621183,2624598,2650447,2588302,2738836,2746065,2633876,2748800,2745582,2843840,2872355,2752315,2788517,2927364,2908307,2871383,2971547,2895765,2975897,2970649,3080245,3067518,3020407,3043870,3017936,3070263,
2189359,2223215,2128312,2297132,2240257,2309772,2299689,2352396,2352828,2294540,2331022,1165349,2497764,2415641,2401532,2423105,2444880,2476057,2531042,2575730,2605338,2594918,2564940,2516778,2646877,2650431,2611561,2715463,2718757,2685882,2752364,2703561,2808774,2828480,2821496,2738786,2821362,2966827,2899696,2941724,2947439,2985778,2923757,3007152,2943155,3068134,3092728,3097671,3150297,3114109,
2199812,2077568,2144586,2149293,2214237,2247414,2261684,2257555,2265236,2242259,2330591,2254201,2342042,2407036,2369128,2464340,2532456,2411044,2511192,2452733,2532078,2496746,2557491,2600095,2623190,2654614,2742420,2535011,2720310,2758399,2710662,2678083,2686275,2829065,2777670,2746518,2712372,2893245,2868809,2898482,2862460,2972547,2890190,2914645,2982002,3065737,2928923,3093269,3026099,3124695,
2207759,2100737,2183163,2200907,2264366,2230778,2274774,2165507,2338214,2308833,2302412,2201324,2471392,2411681,2352201,2404841,2506538,2436802,2519748,2534024,2486753,2602523,2524028,2590872,2636900,2539139,2684908,2581791,2665783,2726965,2654388,2721298,2663193,2770044,2781821,2841736,2770001,2785012,2892368,2914645,2962609,2939258,2988224,3025726,2941658,3076561,3005450,3047006,3050789,3102758,
2182820,2192242,2113748,2145624,2286085,2234430,2216252,2144605,2311665,2341913,2342293,2313177,2417562,2361465,2372974,2360451,2431153,2496584,2415955,2493570,2574734,2636337,2552347,2503765,2613528,2566863,2540458,2583783,2587740,2644354,2666505,2638636,2674559,2873795,2784076,2825910,2737542,2795271,2836250,2908045,2892772,2862022,2952413,3030508,2863265,3007601,3105205,3026746,3116306,3002749,
