node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,node-13,node-14,node-15,node-16,node-17,node-18,node-19,node-20,node-21,node-22,node-23,node-24,node-25,node-26,node-27,node-28,node-29,node-30,node-31,node-32,node-33,node-34,node-35,node-36,node-37,node-38,node-39,node-40,node-41,node-42,node-43,node-44,node-45,node-46,node-47,node-48,node-49,node-50,gadget
12266,11818,12475,13256,13193,11686,12476,12357,12602,14890,12352,11986,12173,12603,13081,12667,13132,12522,12939,12888,12052,12715,12984,13508,12581,13335,13496,12438,12970,12539,13581,12708,12533,13522,13311,13005,13786,12838,12416,13235,13541,14805,13846,14079,15567,14101,13443,14281,15676,14555,190770
10346,11837,13332,12785,12873,12906,14351,12600,13261,13118,12059,12442,13144,12388,12715,13454,12801,12964,13309,14609,12802,13870,11285,13357,12408,12999,12462,13929,12700,12920,13555,13097,13335,12386,12823,12437,13372,12121,12635,12193,13213,14102,13123,11931,14054,12810,14412,12809,13071,12742,200600
11567,11416,12556,14130,12510,13149,11925,13658,12093,12987,12729,13050,14273,13421,14318,12206,13477,12176,12299,12469,13560,13449,13372,12924,13695,12437,13445,12384,12453,13581,12235,12449,12819,12905,13786,14391,13966,14431,14328,13241,13502,14391,12145,13181,12538,12250,13471,13096,13405,13828,179642
11640,12226,13012,12889,13484,13437,12653,13478,12996,13186,12554,12270,13350,12641,12980,12528,12127,12957,13249,12571,13669,11846,12815,11809,11887,12309,13409,13221,12958,13392,13615,13336,13846,12338,12929,12381,13021,13970,14033,13152,13746,13742,12895,13409,13927,12268,12842,12405,13432,13067,185760
13585,9902,13875,13825,14389,12881,13273,12870,13015,13119,13101,13408,12230,11851,13214,13773,14228,12521,12603,12275,14651,13148,13000,13227,12628,14445,13680,12823,12773,13358,13584,12425,15155,14628,12507,12067,13240,12212,14625,15282,12491,13449,11622,11712,12613,13178,12426,13873,11902,13008,201760
13106,10862,13754,13570,13239,12797,12473,12000,12825,12030,15348,12867,13833,12892,12374,12001,13319,13838,12600,12241,13749,12646,13773,12529,12452,14984,14178,13645,13721,13634,11981,12073,13708,12199,11648,13323,14307,13307,12757,13607,12537,12856,13195,12143,11241,13700,13698,12796,12567,13134,182111
12363,12583,13367,13213,13024,12543,12460,12768,13440,13176,12148,11740,12548,13787,12625,12910,12344,13983,12175,14406,13078,13799,12600,13507,11926,13937,13544,12111,14396,12357,14383,13225,13623,12667,11820,12836,12504,13537,12333,13524,13393,13830,13564,12902,14025,12602,13303,11832,12032,14107,201998
14519,12051,13212,13353,11777,11929,12535,13112,12094,13137,12689,12104,12761,12861,12947,13019,13219,13015,14385,13005,13190,12506,13798,12739,13026,12811,13390,12535,11839,13478,12233,12941,13385,11959,13097,10395,13755,12096,13700,12576,13903,12876,12936,12363,13278,13718,11930,12984,13058,13026,199877
12733,12046,14052,12277,14207,13198,12843,12080,12346,13362,12848,12445,14582,14287,12572,12780,13855,13591,14052,12993,13568,12457,14204,12759,11923,12947,13127,14385,12816,11696,12471,13642,13759,12161,14194,11822,12492,12226,14338,13232,13643,13423,12991,12894,13004,13498,11784,14084,12514,11911,201395
13166,12362,12522,12865,13273,12859,12660,12505,13072,12619,12927,11947,13089,12285,13397,13027,12800,12616,11608,12069,12566,13773,14261,12645,13973,12652,13960,14291,12891,12718,13490,12941,14237,12618,13578,13033,13731,12988,12986,13222,12801,13364,14031,14499,12952,12834,12752,12735,13081,12873,196236
10884,14155,12887,13044,12430,11879,12558,13673,13601,12584,12907,13011,12447,13604,12610,13886,13255,13325,12171,13506,13277,14346,13051,12136,12778,13526,13258,13084,11908,12635,12201,14016,14038,12453,12270,14089,13777,12249,14094,13405,14392,11939,12696,13482,14336,12359,13274,13223,12634,13280,211483
12407,11436,13788,14452,12055,13188,13826,14419,12945,12224,13509,14297,14164,13680,13669,12098,12931,12197,13572,14255,15045,14796,12901,13219,12965,12548,12057,13652,14075,12038,12584,12161,12757,13609,12468,12195,12752,12039,12269,13042,11989,14447,12647,13377,13245,13267,13773,12796,14103,14013,182979
11772,10699,12716,15892,13413,13804,14387,13962,13106,13126,13921,13841,12500,12246,11763,13674,14185,13070,12135,14161,13649,12390,13999,12697,12767,12303,12582,13613,12913,12628,13887,12908,12490,13464,13192,13379,13253,15316,13724,13314,13344,12939,13546,12859,12573,12545,12690,13680,13758,13131,208283
12333,13008,13205,12383,13488,14290,12929,12431,14048,13925,12815,12508,12246,12639,13786,12166,13059,13590,12879,13109,12927,13136,13019,13163,12693,12659,13139,13531,14704,13706,12347,13122,13205,13379,13758,11969,12585,13200,12287,14098,12999,13753,13015,12267,15074,13154,12880,13952,13051,12768,175560
13287,13085,12307,13153,14816,13920,14818,13187,12746,13900,12532,13874,13047,12319,12998,12788,12743,12355,13077,12807,14654,13089,13920,12550,13457,12604,13727,12513,13211,12406,12393,12971,14223,14052,12603,11755,12610,12754,12728,14609,14393,13526,12438,12289,13191,13457,13950,13376,14599,14009,210395
12160,11658,12629,13236,12734,12832,13961,13123,12492,12856,13114,13440,13121,13420,12688,13493,12144,12359,12482,12102,13231,13168,13519,14923,12380,12958,14798,14231,14963,13440,13014,12026,13225,14180,13216,12560,13369,12560,13249,14013,12659,13787,12560,13472,13407,14613,13533,12933,13265,13693,180085
10921,11489,12476,14498,14656,13176,14614,12770,12628,12194,13306,11744,11631,12409,14334,12611,14153,13237,13379,14177,11586,12226,12453,11627,12507,11881,12126,14056,13786,12188,13115,12763,12684,12590,13598,12501,12442,13127,13159,13021,13154,12223,12503,12995,13281,12666,13810,12574,14158,12769,192120
10868,12237,12509,12322,11921,13235,12555,12360,13244,12723,13496,12880,11917,12001,12892,12900,11689,12769,12640,13174,14020,13706,13775,11925,13688,12541,12865,14076,11958,12631,12499,10362,12903,12151,13412,11898,12417,13498,12865,13035,13692,13506,13489,12920,13235,13386,13980,13265,13244,12299,187448
