node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,node-13,node-14,node-15,node-16,node-17,node-18,node-19,node-20,node-21,node-22,node-23,node-24,node-25,node-26,node-27,node-28,node-29,node-30,node-31,node-32,node-33,node-34,node-35,node-36,node-37,gadget
13946,13387,13729,13889,12378,13602,13111,12270,13807,12108,13895,13899,12590,13728,11748,12730,14246,14203,13689,13148,10699,13006,13084,13231,12608,12688,13814,14358,12575,13195,12760,13511,13339,13774,13280,12899,15178,431423
12025,12991,14614,13317,12896,12514,13681,12638,12760,13393,13473,12252,12495,13318,13323,14139,13132,12923,12834,12514,12324,15664,12606,13603,11593,12660,12788,14459,13331,11947,12208,13758,13429,12782,12211,11809,13879,479195
11433,12712,14117,14030,13525,13547,12801,12382,14558,13556,13439,12813,12007,13618,11814,13874,13892,13569,12829,12982,12613,13196,13256,13091,12736,13190,13391,12862,14083,13520,12608,12985,13484,13331,12323,13269,14104,432348
13871,14218,13946,13590,12683,14135,13087,13854,13115,10098,12769,12797,15220,14137,14113,12540,11944,11515,12202,12139,13841,12873,11959,12290,13236,13198,13117,13562,12995,12993,11548,14027,14725,13531,13129,13813,14171,417312
12113,11817,12764,13490,13295,13123,13906,13391,13391,12787,14166,13904,12786,12197,13747,13771,13021,12379,14038,13335,13379,13396,13395,12172,12275,13121,11944,13345,12445,12985,13033,13239,12775,13127,12895,12218,14342,480217
12538,13119,13841,12425,13808,12701,12747,12960,13437,13658,12689,12216,13428,12459,12998,12329,11758,12902,12631,12341,13495,11641,14321,13184,12960,12000,14051,12678,13052,14292,14723,13154,12213,13673,14589,12376,13417,481299
13713,12618,12526,12673,13012,12821,14344,15192,13536,11895,12794,12093,12809,13712,13105,14344,14030,13135,12875,14320,14336,12808,12957,12878,14367,15075,13905,12947,12551,14101,13094,14172,14148,13045,15028,13517,12479,497066
11166,12835,13408,12527,12643,14464,12197,13623,13010,12455,12404,12909,12669,14743,13280,13259,12804,12206,13691,13709,12666,13786,14622,12136,12658,13683,13591,13594,12773,13547,12189,12470,13471,13143,13461,14011,13463,373808
11740,11502,13965,12646,13537,13431,14482,11743,12899,13555,12824,13430,13688,12389,12566,13969,12907,12506,13286,12754,12222,12940,13034,12774,13705,12902,14480,13169,13649,12748,13416,14303,12825,12075,12585,12717,13985,473839
12057,10908,13494,13451,13586,12165,13145,12452,13575,11751,11511,13214,13149,13446,12378,13802,12566,12385,12022,12690,13282,12673,12408,12861,13041,12363,13137,13169,13140,15093,12532,12232,11930,13756,12699,12917,12115,446972
12092,13000,13589,13665,12670,13418,12843,12198,13702,13084,14266,13451,12329,13199,12838,12904,13642,12665,13400,14816,13845,12289,13613,13938,14496,11727,12478,13812,13348,11790,13150,11673,13070,12110,12931,15209,14060,339165
12002,11339,13571,12475,12958,11841,12548,11788,12751,13621,11855,13602,13741,13389,13085,12252,12848,13411,12261,11561,12924,12196,12727,13150,12471,14141,12281,13274,12422,12704,13190,12012,13416,12787,12749,12677,13541,448139
